instrument,stock_name,score,T_peak,peak_close,pre_peak_surge,bear_weeks,drawdown_ratio,trough_date,trough_close,drawdown_in_range,bear_duration_ok,base_start,base_end,base_weeks,vol_med_base,base_formed,trigger_week,trigger_recency_days,close_vs_ma120,close_vs_ma250,vr,launch_ma,launch_volume_vr,launch_volume_base,pre_trigger_big_days,quiet_pre_trigger,current_close_vs_ma20w,current_close_vs_ma120w,recent_3m_big_days,post_trigger_ret_pct,post_trigger_big_days,merge_sources,rank_4a,score_4a,rank_4b,score_4b,detail_4b,mode,date_start,close_start,date_end,close_end,ret
600262.SH,北方股份,55,2019-04-19,23.02,False,94,0.4359,2024-02-09,12.984685008290437,True,True,,,,,False,2024-05-10,14,1.0338,,1.8508,True,True,False,3.0,False,1.1229,1.0205,2,-1.15,0.0,['4A'],136.0,55.0,,,,,2024-05-24,18.367486777547253,2024-08-23,16.010303903427996,-12.83
600736.SH,苏州高新,66,2019-04-12,8.95,False,144,0.5369,2024-02-09,4.144653305011291,True,True,,,,,False,2024-05-17,7,1.0338,,1.6199,True,True,False,1.0,True,1.0255,0.9469,1,-8.54,0.0,['4A'],67.0,66.0,,,,,2024-05-24,4.65901267667609,2024-08-23,4.0552482432698005,-12.96
002048.SZ,宁波华翔,65,2022-01-14,21.43,True,103,0.5281,2024-02-02,10.112988402585346,True,True,,,,,False,2024-05-10,14,1.0189,,1.4251,True,True,False,1.0,True,1.117,1.0137,0,-0.14,0.0,['4A'],80.0,65.0,,,,,2024-05-24,13.44667265004999,2024-08-23,11.693767348689098,-13.04
002226.SZ,江南化工,62,2022-03-25,6.32,False,94,0.3971,2024-02-02,3.8103090572754272,True,True,,,,,False,2024-05-17,7,1.0202,,3.5157,True,True,False,0.0,True,1.0674,0.9591,0,-5.8,0.0,['4A'],109.0,62.0,,,,,2024-05-24,4.74585502731595,2024-08-23,4.126012917479723,-13.06
002558.SZ,巨人网络,69,2019-03-15,23.29,False,80,0.7106,2022-09-30,6.74,True,True,,,,,False,2023-05-12,378,1.2685,,1.868,True,True,False,4.0,False,0.9334,0.9435,0,-38.18,1.0,['4A'],55.0,69.0,,,,,2024-05-24,9.973359010020372,2024-08-23,8.660149576987111,-13.17
002468.SZ,申通快递,45,2019-07-26,29.95,False,128,0.7809,2024-02-02,6.563272588275089,True,True,,,,,False,2024-05-17,7,1.021,,2.0672,True,True,False,3.0,False,1.1615,0.9742,1,-5.35,0.0,['4A'],168.0,45.0,,,,,2024-05-24,9.646537849604398,2024-08-23,8.366967285693097,-13.26
002096.SZ,易普力,72,2022-02-11,14.81,True,92,0.4284,2023-12-08,8.464814064627554,True,True,,,,,False,2024-03-01,84,1.0058,,1.0956,True,True,False,0.0,True,1.1136,1.0789,1,13.2,1.0,['4A'],50.0,72.0,,,,,2024-05-24,12.402810554187194,2024-08-23,10.74905057320263,-13.33
002029.SZ,七 匹 狼,76,2019-04-04,7.29,False,144,0.3586,2024-02-02,4.67566714533384,True,True,,,,,False,2024-04-05,49,1.0025,,0.5658,True,False,False,0.0,True,1.0444,1.0053,0,0.52,0.0,['4A'],30.0,76.0,,,,,2024-05-24,5.541527876982722,2024-08-23,4.797743719337096,-13.42
603116.SH,红蜻蜓,61,2019-04-04,7.7,False,145,0.4829,2024-02-09,3.9815607904114962,True,True,,,,,False,2024-04-12,42,1.0723,,0.8271,True,False,False,0.0,True,0.9478,0.9407,1,-12.95,0.0,['4A'],121.0,61.0,,,,,2024-05-24,4.624133109343766,2024-08-23,4.001284334934457,-13.47
002956.SZ,西麦食品,55,2019-07-05,21.48,False,132,0.5279,2024-02-09,10.140561136181036,True,True,,,,,False,2024-05-10,14,1.0112,,2.0463,True,True,False,3.0,False,1.1072,1.0147,2,-0.07,0.0,['4A'],134.0,55.0,,,,,2024-05-24,13.834247561535449,2024-08-23,11.950673691802207,-13.62
603565.SH,中谷物流,48,2022-02-11,11.42,False,100,0.4981,2024-02-02,5.732168853964083,True,True,,,,,False,2024-05-24,0,1.0193,,0.6903,True,False,False,0.0,True,1.2018,1.0193,0,0.0,0.0,['4A'],165.0,48.0,,,,,2024-05-24,8.542845673394625,2024-08-23,7.378425929773562,-13.63
600498.SH,烽火通信,80,2019-02-22,32.21,False,83,0.6274,2022-09-30,12.0,True,True,,,,,False,2023-06-09,350,1.0086,,0.7128,True,False,False,2.0,True,1.0107,1.0276,2,-17.92,2.0,['4A'],18.0,80.0,,,,,2024-05-24,16.51506092685852,2024-08-23,14.25200337018242,-13.7
000783.SZ,长江证券,62,2019-04-04,7.23,False,144,0.3757,2024-02-02,4.513752285494441,True,True,,,,,False,2024-04-26,28,1.0126,,1.3569,True,True,False,2.0,True,1.0738,1.0208,1,0.52,0.0,['4A'],97.0,62.0,,,,,2024-05-24,5.486986442733544,2024-08-23,4.732993028354823,-13.74
600694.SH,大商股份,77,2019-04-04,22.21,False,80,0.4989,2022-10-28,11.13,True,True,2022-10-28,2023-04-21,25.0,9975653.0,True,2023-05-12,378,1.0007,,1.3603,True,True,True,0.0,True,1.1363,1.1701,0,2.94,0.0,['4A'],22.0,77.0,,,,,2024-05-24,15.37859658900487,2024-08-23,13.238532554921562,-13.92
002773.SZ,康弘药业,89,,,False,52,0.709,2022-04-29,,,,,,,,,2024-04-19,35,,,1.1272,True,,,,,1.2348,1.3557,1,29.87,,['4B'],,,8.0,89.0,,4B_fresh_breakout,2024-05-24,21.79691510796919,2024-08-23,18.763419085682308,-13.92
600021.SH,上海电力,48,2022-01-21,12.37,False,102,0.4135,2024-02-02,7.25489412612543,True,True,,,,,False,2024-05-24,0,1.027,,2.5176,True,True,False,0.0,True,1.156,1.027,0,0.0,0.0,['4A'],164.0,48.0,,,,,2024-05-24,9.562518788623677,2024-08-23,8.219615906483478,-14.04
300762.SZ,上海瀚讯,49,2019-04-04,23.81,False,144,0.6102,2024-02-02,9.27999897436822,True,True,,,,,False,2024-03-08,77,1.0137,,0.861,True,False,False,3.0,False,1.2103,1.1914,2,18.61,2.0,"['4A', '4B']",158.0,49.0,11.0,77.0,"{'instrument': '300762.SZ', 'stock_name': '上海瀚讯', 'score': 77, 'mode': '4B_fresh_breakout', 'current_close_vs_ma20w': 1.2103, 'current_close_vs_ma120w': 1.1914, 'recent_3m_big_days': 2, 'post_trigger_ret_pct': 18.61, 'trigger_recency_days': 77, 'trigger_week': '2024-03-08', 'vr': 0.861, 'launch_ma': True, 'drawdown_ratio': 0.6102, 'bear_weeks': 144, 'trough_date': '2024-02-02', 'pre_peak_surge': False}",,2024-05-24,15.870090468510314,2024-08-23,13.640097768814966,-14.05
601512.SH,中新集团,62,2019-12-27,12.91,False,107,0.4671,2024-02-09,6.8798802347734105,True,True,,,,,False,2024-05-10,14,1.0098,,1.9845,True,True,False,1.0,True,1.1157,1.0491,1,3.01,0.0,['4A'],107.0,62.0,,,,,2024-05-24,8.415340558440473,2024-08-23,7.220905124339245,-14.19
002394.SZ,联发股份,92,2019-04-04,9.71,False,80,0.4099,2022-10-28,5.73,True,True,,,,,False,2023-05-12,378,1.0355,,0.9773,True,False,False,2.0,True,0.9336,0.9616,0,-9.67,2.0,['4A'],1.0,92.0,,,,,2024-05-24,6.7948120918051265,2024-08-23,5.826916341289153,-14.24
601069.SH,西部黄金,50,2019-08-30,17.77,False,123,0.4522,2024-02-02,9.733908085480063,True,True,,,,,False,2024-05-10,14,1.1566,,3.9071,True,True,False,3.0,False,1.1148,1.0129,3,-12.6,0.0,['4A'],156.0,50.0,,,,,2024-05-24,13.075589119055245,2024-08-23,11.21016846581571,-14.27
600697.SH,欧亚集团,60,2019-04-04,21.01,False,145,0.5522,2024-02-09,9.408326967066985,True,True,,,,,False,2024-04-12,42,1.0114,,1.1171,True,True,False,3.0,False,1.0076,0.9339,2,-9.26,2.0,['4A'],123.0,60.0,,,,,2024-05-24,11.35077865784231,2024-08-23,9.720264754441018,-14.36
000839.SZ,国安股份,45,2019-03-22,6.77,False,156,0.7282,2024-04-19,1.8399948134825554,True,True,,,,,False,2024-05-17,7,1.0897,,2.6628,True,True,False,0.0,True,1.213,1.0935,0,0.0,0.0,['4A'],167.0,45.0,,,,,2024-05-24,2.560000475522167,2024-08-23,2.1900024799064797,-14.45
002274.SZ,华昌化工,79,2022-01-14,11.22,True,88,0.4483,2023-10-20,6.189549990217983,True,True,2023-11-03,2024-04-12,23.0,46286793.0,True,2024-04-26,28,1.0023,,1.3955,True,True,True,0.0,True,1.0393,0.9853,0,-0.49,0.0,['4A'],20.0,79.0,,,,,2024-05-24,7.482791131188342,2024-08-23,6.388469898563961,-14.62
603508.SH,思维列控,97,,,False,71,0.7833,2022-09-30,,,,,,,,,2024-03-01,84,,,2.8734,True,,,,,1.218,1.5763,6,38.04,,['4B'],,,7.0,97.0,,4B_fresh_breakout,2024-05-24,19.380749410308887,2024-08-23,16.543114568023945,-14.64
002111.SZ,威海广泰,55,2022-01-07,11.3,False,104,0.4266,2024-02-02,6.479701318459671,True,True,,,,,False,2024-03-15,70,1.0078,,2.5713,True,True,False,0.0,True,1.1555,1.1751,1,17.87,1.0,"['4A', '4B']",130.0,55.0,21.0,54.0,"{'instrument': '002111.SZ', 'stock_name': '威海广泰', 'score': 54, 'mode': '4B_fresh_breakout', 'current_close_vs_ma20w': 1.1555, 'current_close_vs_ma120w': 1.1751, 'recent_3m_big_days': 1, 'post_trigger_ret_pct': 17.87, 'trigger_recency_days': 70, 'trigger_week': '2024-03-15', 'vr': 2.5713, 'launch_ma': True, 'drawdown_ratio': 0.4266, 'bear_weeks': 104, 'trough_date': '2024-02-02', 'pre_peak_surge': False}",,2024-05-24,10.605615709034865,2024-08-23,9.051238640762914,-14.66
300074.SZ,华平股份,58,2022-03-18,5.38,False,96,0.4721,2024-02-09,2.8400255901973654,True,True,,,,,False,2024-03-22,63,1.0167,,1.879,True,True,False,1.0,True,0.9503,0.9178,5,-10.29,5.0,['4A'],126.0,58.0,,,,,2024-05-24,3.7499735388981557,2024-08-23,3.200031977554337,-14.67
603025.SH,大豪科技,51,2022-01-07,20.33,True,104,0.5779,2024-02-02,8.580376420149916,True,True,,,,,False,2024-05-17,7,1.0109,,1.7633,True,True,False,2.0,True,1.1789,0.9579,1,-4.86,0.0,['4A'],153.0,51.0,,,,,2024-05-24,13.070987554716755,2024-08-23,11.128658545242013,-14.86
600117.SH,西宁特钢,83,2019-04-04,4.31,False,80,0.7703,2022-10-28,0.99,True,True,,,,,False,2023-05-12,378,1.1429,,2.9157,True,True,False,1.0,True,0.8679,1.0862,0,-15.8,0.0,['4A'],11.0,83.0,,,,,2024-05-24,2.3998947843067375,2024-08-23,2.0398560153320946,-15.0
300017.SZ,网宿科技,74,2019-03-08,16.64,False,81,0.7602,2022-09-30,3.99,True,True,2023-07-28,2023-12-22,21.0,233113921.0,True,2023-12-29,147,1.172,,1.3457,True,True,True,1.0,True,0.9357,1.2791,1,7.14,1.0,['4A'],40.0,74.0,,,,,2024-05-24,7.987127859786649,2024-08-23,6.784681801082344,-15.05
300221.SZ,银禧科技,70,2019-04-19,9.09,False,143,0.582,2024-02-09,3.800022464391737,True,True,,,,,False,2024-03-29,56,1.0049,,2.3777,True,True,False,1.0,True,0.9731,0.9596,2,-4.0,2.0,['4A'],54.0,70.0,,,,,2024-05-24,5.279998721612037,2024-08-23,4.449901337488474,-15.72
000027.SZ,深圳能源,39,,,False,40,0.3098,2022-10-28,,,,,,,,,2024-01-26,119,,,1.2808,True,,,,,1.0746,1.1589,0,15.96,,['4B'],,,30.0,39.0,,4B_fresh_breakout,2024-05-24,7.031792478468587,2024-08-23,5.901493334584065,-16.07
002774.SZ,快意电梯,76,2022-03-18,9.23,False,96,0.4981,2024-02-09,4.632410856128265,True,True,,,,,False,2024-04-12,42,1.0263,,1.3345,True,True,False,1.0,True,1.0405,1.0055,0,-1.43,0.0,['4A'],31.0,76.0,,,,,2024-05-24,6.6348939351462475,2024-08-23,5.564547097224088,-16.13
002053.SZ,云南能投,51,2022-03-18,17.27,True,95,0.5067,2024-02-02,8.518956363329252,True,True,,,,,False,2024-04-05,49,1.0076,,0.602,True,False,False,0.0,True,1.169,1.1265,0,15.28,0.0,['4A'],149.0,51.0,,,,,2024-05-24,12.231716544788473,2024-08-23,10.257115278773288,-16.14
002870.SZ,香山股份,72,2022-01-14,42.15,True,103,0.4089,2024-02-02,24.91464960544519,True,True,,,,,False,2024-03-08,77,1.0475,,1.2006,True,True,False,1.0,True,1.0526,1.0656,0,5.13,0.0,['4A'],51.0,72.0,,,,,2024-05-24,33.40478013479335,2024-08-23,27.9908393060292,-16.21
002246.SZ,北化股份,35,2022-03-18,14.72,False,95,0.5681,2024-02-02,6.357309736089139,True,True,,,,,False,2024-05-17,7,1.1563,,6.1289,True,True,False,4.0,False,1.322,1.14,5,-1.13,1.0,['4A'],185.0,35.0,,,,,2024-05-24,10.40723706509543,2024-08-23,8.719412674565259,-16.22
002532.SZ,天山铝业,51,2022-03-04,8.73,True,97,0.4672,2024-02-02,4.651030700491597,True,True,,,,,False,2024-04-05,49,1.0504,,1.2584,True,True,False,1.0,True,1.25,1.1671,0,13.92,0.0,"['4A', '4B']",150.0,51.0,16.0,65.0,"{'instrument': '002532.SZ', 'stock_name': '天山铝业', 'score': 65, 'mode': '4B_fresh_breakout', 'current_close_vs_ma20w': 1.25, 'current_close_vs_ma120w': 1.1671, 'recent_3m_big_days': 0, 'post_trigger_ret_pct': 13.92, 'trigger_recency_days': 49, 'trigger_week': '2024-04-05', 'vr': 1.2584, 'launch_ma': True, 'drawdown_ratio': 0.4672, 'bear_weeks': 97, 'trough_date': '2024-02-02', 'pre_peak_surge': True}",,2024-05-24,7.505944702975541,2024-08-23,6.284685178809152,-16.27
300467.SZ,迅游科技,73,2019-03-15,29.2,False,80,0.6575,2022-09-30,10.0,True,True,,,,,False,2023-05-12,378,1.0655,,3.4837,True,True,False,2.0,True,1.0511,1.0529,1,-13.39,3.0,['4A'],42.0,73.0,,,,,2024-05-24,14.810005530401394,2024-08-23,12.400006479439654,-16.27
300174.SZ,元力股份,61,2019-04-19,30.92,False,142,0.5957,2024-02-02,12.49941300150996,True,True,,,,,False,2024-04-05,49,1.0145,,2.4509,True,True,False,2.0,True,0.9896,0.914,0,-10.01,0.0,['4A'],120.0,61.0,,,,,2024-05-24,14.690280782194462,2024-08-23,12.276690455858388,-16.43
600168.SH,武汉控股,62,2019-04-19,5.38,False,93,0.3029,2024-02-02,3.750163037488275,True,True,,,,,False,2024-05-10,14,1.0205,,0.6485,True,False,False,0.0,True,1.0549,1.0181,0,0.0,0.0,['4A'],104.0,62.0,,,,,2024-05-24,4.473303483635849,2024-08-23,3.7360251003131766,-16.48
601212.SH,白银有色,56,2019-03-08,5.28,False,148,0.5511,2024-02-02,2.3702844404097685,True,True,,,,,False,2024-03-29,56,1.0158,,1.4836,True,True,False,0.0,True,1.0683,1.0984,3,7.64,3.0,['4A'],129.0,56.0,,,,,2024-05-24,3.0896393651579204,2024-08-23,2.579515097192472,-16.51
002616.SZ,长青集团,55,2019-03-22,8.18,False,147,0.567,2024-02-09,3.542120964792745,True,True,,,,,False,2024-05-10,14,1.0578,,4.1921,True,True,False,2.0,True,1.0802,0.9813,2,-8.02,0.0,['4A'],133.0,55.0,,,,,2024-05-24,4.824360074911116,2024-08-23,4.012240864151213,-16.83
601579.SH,会稽山,62,2022-05-13,17.29,False,87,0.5126,2024-02-02,8.427348674063953,True,True,,,,,False,2024-05-10,14,1.0796,,1.9075,True,True,False,0.0,True,1.1101,1.0087,0,-6.03,0.0,['4A'],108.0,62.0,,,,,2024-05-24,10.955907292190473,2024-08-23,9.093783619618476,-17.0
000917.SZ,电广传媒,84,2019-03-22,10.59,False,79,0.5902,2022-09-30,4.34,True,True,2022-09-30,2023-04-07,26.0,54599847.5,True,2023-05-12,378,1.0065,,3.3318,True,True,True,0.0,True,1.0203,1.0105,4,-6.45,9.0,['4A'],10.0,84.0,,,,,2024-05-24,5.66217768570283,2024-08-23,4.697852684901869,-17.03
300761.SZ,立华股份,74,,,False,59,0.6916,2022-04-29,,,,,,,,,2024-03-22,63,,,1.0215,True,,,,,1.1955,1.237,1,15.55,,['4B'],,,12.0,74.0,,4B_fresh_breakout,2024-05-24,23.338010599225687,2024-08-23,19.338392101297796,-17.14
002830.SZ,名雕股份,76,2019-08-23,18.77,False,125,0.5767,2024-02-09,7.944473498255793,True,True,,,,,False,2024-05-17,7,1.0051,,0.7035,True,False,False,1.0,True,0.9868,0.9527,1,-5.36,0.0,['4A'],39.0,76.0,,,,,2024-05-24,11.011138846369874,2024-08-23,9.120237652763587,-17.17
000655.SZ,金岭矿业,69,2022-01-07,8.18,True,105,0.3786,2024-02-09,5.083302276083238,True,True,,,,,False,2024-04-12,42,1.017,,2.9053,True,True,False,1.0,True,0.9994,0.9144,0,-9.13,0.0,['4A'],58.0,69.0,,,,,2024-05-24,6.029864964244343,2024-08-23,4.987787997647279,-17.28
600618.SH,氯碱化工,62,2022-04-15,12.5,False,91,0.4352,2024-02-02,7.060246529883983,True,True,,,,,False,2024-05-10,14,1.0109,,2.4578,True,True,False,0.0,True,1.0912,0.9743,0,-3.04,0.0,['4A'],105.0,62.0,,,,,2024-05-24,9.18024176427486,2024-08-23,7.580542016263,-17.43
002224.SZ,三 力 士,68,2019-05-17,7.26,False,139,0.4579,2024-02-09,3.935840923182842,True,True,,,,,False,2024-03-22,63,1.0245,,1.229,True,True,False,2.0,True,0.9242,0.908,0,-12.92,0.0,['4A'],60.0,68.0,,,,,2024-05-24,4.320530459742521,2024-08-23,3.557822303442117,-17.65
300577.SZ,开润股份,29,2019-04-12,36.02,False,143,0.7019,2024-02-02,10.738090694098313,True,True,,,,,False,2024-03-29,56,1.0961,,3.3765,True,True,False,3.0,False,1.338,1.3797,3,19.91,2.0,"['4A', '4B']",189.0,29.0,4.0,97.0,"{'instrument': '300577.SZ', 'stock_name': '开润股份', 'score': 97, 'mode': '4B_fresh_breakout', 'current_close_vs_ma20w': 1.338, 'current_close_vs_ma120w': 1.3797, 'recent_3m_big_days': 3, 'post_trigger_ret_pct': 19.91, 'trigger_recency_days': 56, 'trigger_week': '2024-03-29', 'vr': 3.3765, 'launch_ma': True, 'drawdown_ratio': 0.7019, 'bear_weeks': 143, 'trough_date': '2024-02-02', 'pre_peak_surge': False}",,2024-05-24,21.164361191001994,2024-08-23,17.411216791496756,-17.73
603129.SH,春风动力,43,2022-01-14,165.0,True,103,0.4983,2024-02-02,82.78611483322466,True,True,,,,,False,2024-03-08,77,1.0087,,1.0645,True,True,False,1.0,True,1.2942,1.221,0,31.3,0.0,"['4A', '4B']",175.0,43.0,9.0,85.0,"{'instrument': '603129.SH', 'stock_name': '春风动力', 'score': 85, 'mode': '4B_fresh_breakout', 'current_close_vs_ma20w': 1.2942, 'current_close_vs_ma120w': 1.221, 'recent_3m_big_days': 0, 'post_trigger_ret_pct': 31.3, 'trigger_recency_days': 77, 'trigger_week': '2024-03-08', 'vr': 1.0645, 'launch_ma': True, 'drawdown_ratio': 0.4983, 'bear_weeks': 103, 'trough_date': '2024-02-02', 'pre_peak_surge': True}",,2024-05-24,150.2784897639602,2024-08-23,123.30486675433899,-17.95
002989.SZ,中天精装,55,2022-01-07,20.24,False,105,0.4817,2024-02-09,10.489733583722767,True,True,,,,,False,2024-05-24,0,1.1801,,0.7619,True,False,False,2.0,True,1.1286,1.1801,2,0.0,0.0,['4A'],140.0,55.0,,,,,2024-05-24,18.42012419814158,2024-08-23,15.080132215034489,-18.13
600663.SH,陆家嘴,62,2019-04-04,14.01,False,141,0.4348,2024-01-19,7.918910829297648,True,True,,,,,False,2024-05-10,14,1.0039,,1.2742,True,True,False,2.0,True,1.145,1.0433,0,3.65,0.0,['4A'],106.0,62.0,,,,,2024-05-24,9.881756381786525,2024-08-23,8.08400359370755,-18.19
603660.SH,苏州科达,62,2019-03-15,18.52,False,80,0.7478,2022-09-30,4.67,True,True,2023-05-26,2023-12-01,27.0,37323994.0,True,2023-12-08,168,1.1101,,1.0462,True,True,False,1.0,True,0.8278,0.9051,4,-27.4,11.0,['4A'],89.0,62.0,,,,,2024-05-24,5.830229321095854,2024-08-23,4.750152784172256,-18.53
002097.SZ,山河智能,73,2022-01-07,9.36,False,105,0.3945,2024-02-09,5.667043841622992,True,True,,,,,False,2024-03-01,84,1.0488,,2.9448,True,True,False,2.0,True,0.9323,0.993,4,-1.91,4.0,['4A'],44.0,73.0,,,,,2024-05-24,6.616464498051101,2024-08-23,5.386377165222509,-18.59
000958.SZ,电投产融,62,2019-04-19,9.07,False,140,0.6071,2024-01-19,3.563727994183257,True,True,,,,,False,2024-05-24,0,1.0364,,1.1039,True,True,False,2.0,True,1.1348,1.0364,1,0.0,0.0,['4A'],112.0,62.0,,,,,2024-05-24,4.322538329113211,2024-08-23,3.514652760565505,-18.69
300272.SZ,开能健康,50,2022-03-18,7.51,False,96,0.4684,2024-02-09,3.992687406075016,True,True,,,,,False,2024-05-10,14,1.2543,,4.4166,True,True,False,3.0,False,1.1012,1.0379,3,-16.83,0.0,['4A'],155.0,50.0,,,,,2024-05-24,5.523981322518296,2024-08-23,4.4917537820703695,-18.69
002438.SZ,江苏神通,65,2022-01-07,18.95,True,104,0.5486,2024-02-02,8.554757613691311,True,True,,,,,False,2024-05-03,21,1.0676,,1.1687,True,True,False,0.0,True,1.1489,1.0576,1,0.23,1.0,['4A'],76.0,65.0,,,,,2024-05-24,12.778486287269804,2024-08-23,10.373520356614062,-18.82
000751.SZ,锌业股份,66,2022-03-04,4.04,False,97,0.3582,2024-02-02,2.592911325062875,True,True,,,,,False,2024-04-05,49,1.0126,,1.8922,True,True,False,0.0,True,0.9881,0.9136,1,-9.54,0.0,['4A'],64.0,66.0,,,,,2024-05-24,2.998888497321672,2024-08-23,2.4247082016324404,-19.15
300453.SZ,三鑫医疗,65,2022-01-14,9.55,True,103,0.4552,2024-02-02,5.202825761095761,True,True,,,,,False,2024-03-29,56,1.0378,,2.2242,True,True,False,1.0,True,1.0662,1.0321,0,3.89,0.0,['4A'],69.0,65.0,,,,,2024-05-24,7.049173566785824,2024-08-23,5.681091554484764,-19.41
002705.SZ,新宝股份,64,2022-01-07,26.97,True,104,0.5908,2024-02-02,11.03515987292249,True,True,,,,,False,2024-04-05,49,1.0397,,1.0821,True,True,False,1.0,True,1.0322,0.9201,0,-10.57,0.0,['4A'],83.0,64.0,,,,,2024-05-24,15.08727167342498,2024-08-23,12.141733196820974,-19.52
002392.SZ,北京利尔,76,2022-01-07,4.82,False,105,0.3825,2024-02-09,2.9765120911818572,True,True,,,,,False,2024-04-26,28,1.006,,1.7136,True,True,False,0.0,True,1.0486,0.9913,0,-1.33,0.0,['4A'],33.0,76.0,,,,,2024-05-24,3.6325766023281956,2024-08-23,2.9165343229335985,-19.71
002237.SZ,恒邦股份,62,2019-07-05,18.86,False,131,0.54,2024-02-02,8.675216610937804,True,True,,,,,False,2024-03-29,56,1.0385,,1.6133,True,True,False,0.0,True,1.1406,1.159,0,11.37,0.0,"['4A', '4B']",91.0,62.0,26.0,47.0,"{'instrument': '002237.SZ', 'stock_name': '恒邦股份', 'score': 47, 'mode': '4B_fresh_breakout', 'current_close_vs_ma20w': 1.1406, 'current_close_vs_ma120w': 1.159, 'recent_3m_big_days': 0, 'post_trigger_ret_pct': 11.37, 'trigger_recency_days': 56, 'trigger_week': '2024-03-29', 'vr': 1.6133, 'launch_ma': True, 'drawdown_ratio': 0.54, 'bear_weeks': 131, 'trough_date': '2024-02-02', 'pre_peak_surge': False}",,2024-05-24,12.348481177966553,2024-08-23,9.897918604795096,-19.85
000533.SZ,顺钠股份,83,2022-07-22,4.92,False,78,0.4085,2024-02-09,2.9101005492892305,True,True,,,,,False,2024-03-22,63,1.0172,,1.0162,True,True,False,0.0,True,0.9892,0.9546,0,-4.25,0.0,['4A'],16.0,83.0,,,,,2024-05-24,3.830082108021914,2024-08-23,3.070001051312581,-19.85
603321.SH,梅轮电梯,76,2019-10-11,8.57,False,118,0.4181,2024-02-09,4.986819074161826,True,True,,,,,False,2024-04-12,42,1.018,,1.21,True,True,False,1.0,True,1.0473,1.0466,1,2.46,1.0,['4A'],32.0,76.0,,,,,2024-05-24,7.128097394704442,2024-08-23,5.701765640230732,-20.01
601113.SH,华鼎股份,52,2019-03-15,10.39,False,147,0.7093,2024-02-02,3.019909014752511,True,True,,,,,False,2024-05-17,7,1.0113,,2.1974,True,True,False,4.0,False,1.0608,0.966,2,-4.42,0.0,['4A'],147.0,52.0,,,,,2024-05-24,3.6799235475449477,2024-08-23,2.9400647369844926,-20.11
300444.SZ,双杰电气,73,2019-04-19,10.21,False,86,0.5808,2022-12-23,4.28,True,True,2022-12-23,2023-05-12,20.0,46654233.0,True,2023-05-19,371,1.3199,,5.6398,True,True,True,4.0,False,1.1299,1.1973,0,-10.98,3.0,['4A'],43.0,73.0,,,,,2024-05-24,7.049996437579321,2024-08-23,5.629919021944147,-20.14
603558.SH,健盛集团,39,,,False,26,0.4422,2022-10-28,,,,,,,,,2024-02-09,105,,,1.6783,True,,,,,1.0726,1.1997,0,15.88,,['4B'],,,29.0,39.0,,4B_fresh_breakout,2024-05-24,10.107451950442536,2024-08-23,8.060220986007607,-20.25
002035.SZ,华帝股份,97,,,False,55,0.7029,2022-04-29,,,,,,,,,2024-04-12,42,,,1.6097,True,,,,,1.2482,1.3274,2,24.34,,['4B'],,,2.0,97.0,,4B_fresh_breakout,2024-05-24,7.337660945180368,2024-08-23,5.821611297192593,-20.66
300791.SZ,仙乐健康,59,,,False,14,0.5278,2022-04-29,,,,,,,,,2024-02-09,105,,,0.843,True,,,,,1.1343,1.2631,0,28.64,,['4B'],,,20.0,59.0,,4B_fresh_breakout,2024-05-24,22.34847965095231,2024-08-23,17.72594895669727,-20.68
301008.SZ,宏昌科技,48,2022-01-07,24.39,False,105,0.4972,2024-02-09,12.263991743453388,True,True,,,,,False,2024-05-24,0,1.0912,,2.0485,True,True,False,2.0,True,1.1739,1.0912,1,0.0,0.0,['4A'],162.0,48.0,,,,,2024-05-24,20.40047777473067,2024-08-23,16.14033650363738,-20.88
300722.SZ,新余国科,44,2022-02-25,25.59,True,98,0.3896,2024-02-02,15.620824334316332,True,True,,,,,False,2024-05-24,0,1.1953,,5.151,True,True,False,3.0,False,1.3079,1.1953,3,0.0,0.0,['4A'],174.0,44.0,,,,,2024-05-24,24.1189680888363,2024-08-23,19.041448784925148,-21.05
600796.SH,钱江生化,59,2019-04-12,6.32,False,144,0.3542,2024-02-09,4.081432014468839,True,True,,,,,False,2024-05-10,14,1.0094,,4.1137,True,True,False,3.0,False,1.0009,0.9314,3,-7.78,0.0,['4A'],124.0,59.0,,,,,2024-05-24,4.921345525305504,2024-08-23,3.880255125645686,-21.15
603515.SH,欧普照明,63,2019-03-29,34.33,False,81,0.6304,2022-10-28,12.69,True,True,2022-12-09,2023-05-05,21.0,8797175.0,True,2023-09-01,266,1.038,,2.5595,True,True,True,2.0,True,1.1662,1.1327,0,-6.99,0.0,['4A'],86.0,63.0,,,,,2024-05-24,17.89447235070071,2024-08-23,14.088013147420437,-21.27
000683.SZ,博源化工,51,2022-06-10,9.69,True,83,0.5321,2024-02-02,4.533728126915578,True,True,,,,,False,2024-05-10,14,1.0163,,1.5964,True,True,False,1.0,True,1.2271,0.9939,0,-0.9,0.0,['4A'],151.0,51.0,,,,,2024-05-24,7.0131342172155895,2024-08-23,5.519260783115064,-21.3
