instrument,stock_name,score,T_peak,peak_close,pre_peak_surge,bear_weeks,drawdown_ratio,trough_date,trough_close,drawdown_in_range,bear_duration_ok,base_start,base_end,base_weeks,vol_med_base,base_formed,trigger_week,trigger_recency_days,close_vs_ma120,close_vs_ma250,vr,launch_ma,launch_volume_vr,launch_volume_base,pre_trigger_big_days,quiet_pre_trigger,current_close_vs_ma20w,current_close_vs_ma120w,recent_3m_big_days,post_trigger_ret_pct,post_trigger_big_days,merge_sources,rank_4a,score_4a,rank_4b,score_4b,detail_4b,mode,date_start,close_start,date_end,close_end,ret
000902.SZ,新洋丰,65,2022-04-08,18.23,True,92,0.4834,2024-02-02,9.416776056861805,True,True,,,,,False,2024-05-17,7,1.0126,,2.6353,True,True,False,1.0,True,1.114,0.9782,0,-3.04,0.0,['4A'],82.0,65.0,,,,,2024-05-24,12.038339294149248,2024-08-23,11.627711399936647,-3.41
600679.SH,上海凤凰,91,2019-03-22,17.59,False,124,0.5444,2023-08-25,8.014299426209677,True,True,,,,,False,2023-12-15,161,1.0161,,3.2523,True,True,False,3.0,False,0.9447,0.9622,0,-9.85,7.0,['4A'],5.0,91.0,,,,,2024-05-24,9.042270271834067,2024-08-23,8.73320714177706,-3.42
601375.SH,中原证券,76,2019-04-04,6.32,False,80,0.462,2022-10-28,3.4,True,True,2022-11-18,2023-07-21,35.0,117268984.0,True,2023-08-04,294,1.0582,,7.4603,True,True,True,1.0,True,0.9762,0.909,0,-22.25,0.0,['4A'],27.0,76.0,,,,,2024-05-24,3.558126475428438,2024-08-23,3.430007544886138,-3.6
002064.SZ,华峰化学,65,2022-01-07,9.86,True,104,0.429,2024-02-02,5.630366210645559,True,True,,,,,False,2024-04-05,49,1.012,,0.9951,True,False,False,1.0,True,1.0726,1.0341,0,4.37,0.0,['4A'],70.0,65.0,,,,,2024-05-24,7.288019639742353,2024-08-23,7.0177083828002,-3.71
600031.SH,三一重工,65,2022-01-07,23.32,True,97,0.4771,2023-12-15,12.194856463766136,True,True,,,,,False,2024-05-03,21,1.0124,,0.5353,True,False,False,0.0,True,1.1421,1.0405,0,3.19,0.0,['4A'],77.0,65.0,,,,,2024-05-24,16.04685967886137,2024-08-23,15.423803196999732,-3.88
600959.SH,江苏有线,76,2019-03-22,5.76,False,82,0.5208,2022-10-28,2.76,True,True,2022-10-28,2023-04-07,23.0,143228397.0,True,2023-05-12,378,1.0499,,3.5809,True,True,True,1.0,True,0.9526,0.9084,0,-24.76,0.0,['4A'],25.0,76.0,,,,,2024-05-24,2.872657515733717,2024-08-23,2.7543215993233736,-4.12
601577.SH,长沙银行,77,2019-03-08,9.05,False,84,0.4387,2022-10-28,5.08,True,True,2022-11-11,2023-04-14,22.0,60094887.0,True,2023-05-12,378,1.1026,,1.7479,True,True,True,0.0,True,1.1095,1.1884,0,7.73,0.0,['4A'],23.0,77.0,,,,,2024-05-24,7.681542326556404,2024-08-23,7.355591823619192,-4.24
601860.SH,紫金银行,59,2019-03-08,9.87,False,84,0.7812,2022-10-28,2.16,True,True,2023-01-06,2023-07-21,28.0,150438959.0,True,2024-05-17,7,1.0334,,1.3863,True,True,True,0.0,True,1.054,1.0339,0,-0.79,0.0,['4A'],125.0,59.0,,,,,2024-05-24,2.5,2024-08-23,2.39,-4.4
301086.SZ,鸿富瀚,48,2022-01-14,51.55,False,104,0.4776,2024-02-09,26.928509944748136,True,True,,,,,False,2024-05-24,0,1.0443,,3.4385,True,True,False,2.0,True,1.2337,1.0443,1,0.0,0.0,['4A'],163.0,48.0,,,,,2024-05-24,42.250585052759874,2024-08-23,40.3143263675125,-4.58
300102.SZ,乾照光电,68,2022-04-01,8.97,False,94,0.3981,2024-02-09,5.399217810623677,True,True,,,,,False,2024-03-22,63,1.0431,,0.5676,True,False,False,1.0,True,0.9613,0.9036,0,-11.25,0.0,['4A'],61.0,68.0,,,,,2024-05-24,6.285686694327666,2024-08-23,5.976918696317703,-4.91
