instrument,stock_name,score,T_peak,peak_close,pre_peak_surge,bear_weeks,drawdown_ratio,trough_date,trough_close,drawdown_in_range,bear_duration_ok,base_start,base_end,base_weeks,vol_med_base,base_formed,trigger_week,trigger_recency_days,close_vs_ma120,close_vs_ma250,vr,launch_ma,launch_volume_vr,launch_volume_base,pre_trigger_big_days,quiet_pre_trigger,current_close_vs_ma20w,current_close_vs_ma120w,recent_3m_big_days,post_trigger_ret_pct,post_trigger_big_days,merge_sources,rank_4a,score_4a,rank_4b,score_4b,mode,date_start,close_start,date_end,close_end,ret
002197.SZ,证通电子,59,,,False,128,0.7844,2024-08-23,,,,,,,,,2025-07-04,180,,,0.648,True,,,,,1.0538,1.4605,1,38.07,,['4B'],,,96.0,59.0,4B_fresh_breakout,2025-12-31,10.12009834539057,2026-03-26,8.09,-20.06
688292.SH,浩瀚深度,89,,,False,72,0.732,2024-09-13,,,,,,,,,2025-10-24,68,,,0.608,True,,,,,1.2093,1.3623,1,33.09,,['4B'],,,14.0,89.0,4B_fresh_breakout,2025-12-31,29.000156532979894,2026-03-26,23.08,-20.41
001266.SZ,宏英智能,97,,,False,128,0.5984,2024-09-13,,,,,,,,,2025-11-07,54,,,2.9669,True,,,,,1.2908,1.5748,6,29.08,,['4B'],,,5.0,97.0,4B_fresh_breakout,2025-12-31,39.37018724713547,2026-03-26,31.33,-20.42
000505.SZ,京粮控股,82,,,False,119,0.5788,2024-08-23,,,,,,,,,2025-10-17,75,,,1.131,True,,,,,1.1855,1.3188,4,26.45,,['4B'],,,26.0,82.0,4B_fresh_breakout,2025-12-31,8.509864650804948,2026-03-26,6.67,-21.62
301078.SZ,孩子王,91,2022-03-04,22.49,False,125,0.783,2024-08-23,4.881052814541616,True,True,,,,,False,2024-10-18,439,1.0355,,3.4175,True,True,False,4.0,False,0.9524,1.0561,0,2.09,4.0,['4A'],126.0,91.0,,,,2025-12-31,10.370397638131635,2026-03-26,8.12,-21.7
301117.SZ,佳缘科技,82,,,False,76,0.7359,2024-08-23,,,,,,,,,2025-08-08,145,,,4.5409,True,,,,,1.2823,1.8833,3,29.4,,['4B'],,,29.0,82.0,4B_fresh_breakout,2025-12-31,53.25000437998364,2026-03-26,41.57,-21.93
002388.SZ,新亚制程,57,,,False,81,0.6835,2024-07-19,,,,,,,,,2025-10-31,61,,,1.1536,True,,,,,1.1296,1.3788,0,9.43,,['4B'],,,99.0,57.0,4B_fresh_breakout,2025-12-31,6.379961314196887,2026-03-26,4.97,-22.1
603260.SH,合盛硅业,90,2022-02-25,142.18,True,98,0.6999,2024-02-02,42.6699249229171,True,True,2024-07-19,2025-04-03,38.0,10539573.0,True,2025-07-25,159,1.0134,,4.6259,True,True,True,0.0,True,1.0035,1.0194,1,-5.29,1.0,['4A'],237.0,90.0,,,,2025-12-31,52.69982911692958,2026-03-26,40.99,-22.22
600581.SH,八一钢铁,95,2022-04-08,7.69,True,122,0.6762,2024-09-06,2.4899642199925087,True,True,,,,,False,2024-11-01,425,1.0101,,5.8826,True,True,False,3.0,False,0.8213,0.9792,0,-13.02,8.0,['4A'],18.0,95.0,,,,2025-12-31,3.3399526129052775,2026-03-26,2.59,-22.45
300123.SZ,亚光科技,97,,,False,36,0.569,2024-07-12,,,,,,,,,2025-11-21,40,,,3.9973,True,,,,,1.2163,1.306,3,15.39,,['4B'],,,4.0,97.0,4B_fresh_breakout,2025-12-31,8.100062135645056,2026-03-26,6.28,-22.47
603755.SH,日辰股份,59,,,False,66,0.6913,2024-02-09,,,,,,,,,2025-08-29,124,,,2.2554,True,,,,,1.1095,1.3896,1,35.38,,['4B'],,,88.0,59.0,4B_fresh_breakout,2025-12-31,36.36382985566304,2026-03-26,27.67,-23.91
688562.SH,航天软件,97,,,False,64,0.6384,2024-09-13,,,,,,,,,2025-10-31,61,,,1.5367,True,,,,,1.2377,1.3328,2,28.87,,['4B'],,,7.0,97.0,4B_fresh_breakout,2025-12-31,23.87995072130856,2026-03-26,18.1,-24.2
002006.SZ,精工科技,62,,,True,76,0.7179,2024-02-02,,,,,,,,,2025-09-19,103,,,2.765,True,,,,,1.1253,1.4605,0,13.14,,['4B'],,,76.0,62.0,4B_fresh_breakout,2025-12-31,23.15997115233089,2026-03-26,17.41,-24.83
601888.SH,中国中免,100,,,True,132,0.7586,2024-09-20,,,,,,,,,2025-10-31,61,,,1.7441,True,,,,,1.2362,1.3243,2,24.7,,['4B'],,,2.0,100.0,4B_fresh_breakout,2025-12-31,94.55988640284001,2026-03-26,70.69,-25.24
603633.SH,徕木股份,95,2022-11-04,13.59,True,95,0.5692,2024-09-20,5.854119665418429,True,True,2025-01-10,2025-06-27,25.0,53539916.0,True,2025-07-04,180,1.0671,,2.0962,True,True,True,1.0,True,0.9194,1.1852,0,15.04,3.0,['4A'],27.0,95.0,,,,2025-12-31,10.129981679766205,2026-03-26,7.54,-25.57
000735.SZ,罗 牛 山,82,,,False,166,0.6742,2024-06-28,,,,,,,,,2025-10-31,61,,,1.5514,True,,,,,1.176,1.5123,4,23.33,,['4B'],,,25.0,82.0,4B_fresh_breakout,2025-12-31,9.03994336026012,2026-03-26,6.69,-26.0
301069.SZ,凯盛新材,59,,,False,131,0.7584,2024-08-23,,,,,,,,,2025-08-08,145,,,4.2057,True,,,,,1.1259,1.6007,1,34.98,,['4B'],,,91.0,59.0,4B_fresh_breakout,2025-12-31,27.799697113594362,2026-03-26,20.56,-26.04
300045.SZ,华力创通,70,,,True,47,0.5319,2024-09-13,,,,,,,,,2025-08-01,152,,,2.9609,True,,,,,1.2283,1.3514,0,41.58,,['4B'],,,56.0,70.0,4B_fresh_breakout,2025-12-31,28.910006655354557,2026-03-26,21.23,-26.57
600115.SH,中国东航,67,,,False,153,0.5788,2024-04-12,,,,,,,,,2025-08-22,131,,,1.2957,True,,,,,1.2664,1.4858,0,47.06,,['4B'],,,64.0,67.0,4B_fresh_breakout,2025-12-31,6.0002419996665175,2026-03-26,4.31,-28.17
600029.SH,南方航空,82,,,False,176,0.4386,2024-09-20,,,,,,,,,2025-10-17,75,,,1.4781,True,,,,,1.2066,1.3253,0,28.99,,['4B'],,,27.0,82.0,4B_fresh_breakout,2025-12-31,8.010254018830695,2026-03-26,5.69,-28.97
002829.SZ,星网宇达,85,,,True,51,0.6606,2024-07-05,,,,,,,,,2025-08-08,145,,,1.9553,True,,,,,1.2219,1.4545,2,36.19,,['4B'],,,19.0,85.0,4B_fresh_breakout,2025-12-31,31.420051684616443,2026-03-26,21.73,-30.84
600476.SH,湘邮科技,92,2019-05-24,20.88,False,116,0.4497,2024-08-23,11.48976269984789,True,True,2025-01-03,2025-05-16,20.0,23662066.0,True,2025-05-23,222,1.0631,,2.3448,True,True,True,2.0,True,0.9425,1.0168,0,-3.55,2.0,['4A'],111.0,92.0,,,,2025-12-31,16.009981750218298,2026-03-26,10.7,-33.17
603668.SH,天马科技,70,,,True,81,0.498,2024-08-23,,,,,,,,,2025-08-29,124,,,3.0808,True,,,,,1.0961,1.235,2,19.09,,['4B'],,,55.0,70.0,4B_fresh_breakout,2025-12-31,16.660236037904276,2026-03-26,10.69,-35.84
002731.SZ,萃华珠宝,97,2022-08-19,24.23,True,101,0.6998,2024-08-23,7.273242408334788,True,True,,,,,False,2025-05-23,222,1.0527,,3.2891,True,True,False,0.0,True,0.9371,1.1794,0,11.08,4.0,['4A'],13.0,97.0,,,,2025-12-31,12.559820027979868,2026-03-26,7.42,-40.92
