instrument,stock_name,score,T_peak,peak_close,pre_peak_surge,bear_weeks,drawdown_ratio,trough_date,trough_close,drawdown_in_range,bear_duration_ok,base_start,base_end,base_weeks,vol_med_base,base_formed,trigger_week,trigger_recency_days,close_vs_ma120,close_vs_ma250,vr,launch_ma,launch_volume_vr,launch_volume_base,pre_trigger_big_days,quiet_pre_trigger,current_close_vs_ma20w,current_close_vs_ma120w,recent_3m_big_days,post_trigger_ret_pct,post_trigger_big_days,merge_sources,rank_4a,score_4a,rank_4b,score_4b,mode,date_start,close_start,date_end,close_end,ret
600352.SH,浙江龙盛,91,2019-04-04,20.85,False,95,0.6714,2024-02-02,6.852335039586399,True,True,,,,,False,2024-10-04,453,1.053,,1.4828,True,True,False,0.0,True,1.0239,1.1804,0,8.11,0.0,['4A'],124.0,91.0,,,,2025-12-31,10.65998486275296,2026-03-26,13.19,23.73
300286.SZ,安科瑞,90,2023-02-03,42.1375,True,82,0.6504,2024-09-13,14.731229820452727,True,True,2024-10-18,2025-02-28,20.0,25024428.5,True,2025-08-22,131,1.0364,,1.6015,True,True,False,1.0,True,0.9603,1.0623,0,-4.11,0.0,['4A'],241.0,90.0,,,,2025-12-31,23.08004475587195,2026-03-26,28.55,23.7
603938.SH,三孚股份,70,,,True,79,0.6503,2024-08-23,,,,,,,,,2025-07-11,173,,,1.0929,True,,,,,1.1261,1.3558,7,25.89,,['4B'],,,58.0,70.0,4B_fresh_breakout,2025-12-31,19.11007233331464,2026-03-26,23.57,23.34
600158.SH,中体产业,91,2022-01-07,13.81,False,135,0.5246,2024-09-13,6.564946546870723,True,True,2024-12-27,2025-05-30,23.0,92431110.0,True,2025-06-13,201,1.046,,3.2212,True,True,True,1.0,True,0.967,1.0556,0,-1.8,1.0,['4A'],181.0,91.0,,,,2025-12-31,8.72994636654316,2026-03-26,10.76,23.25
002408.SZ,齐翔腾达,90,2022-01-07,10.46,True,104,0.6118,2024-02-02,4.060650898047947,True,True,2024-11-08,2025-04-03,22.0,74590283.5,True,2025-07-25,159,1.0125,,2.6255,True,True,True,0.0,True,0.9958,0.9663,0,-9.3,0.0,['4A'],232.0,90.0,,,,2025-12-31,4.87996332713402,2026-03-26,6.01,23.16
002339.SZ,积成电子,74,,,False,49,0.4943,2024-02-09,,,,,,,,,2025-10-17,75,,,0.9385,True,,,,,1.0691,1.2536,1,13.37,,['4B'],,,39.0,74.0,4B_fresh_breakout,2025-12-31,8.820053250827764,2026-03-26,10.84,22.9
601117.SH,中国化学,94,2022-01-07,11.1,True,102,0.4881,2024-01-19,5.6819086448751195,True,True,2024-03-22,2024-09-20,27.0,248154145.0,True,2024-10-04,453,1.0483,,0.635,True,False,False,0.0,True,0.9863,1.0405,0,-6.42,0.0,['4A'],33.0,94.0,,,,2025-12-31,7.446490701298234,2026-03-26,9.13,22.61
300497.SZ,富祥药业,82,,,False,103,0.6719,2024-02-02,,,,,,,,,2025-07-18,166,,,2.2697,True,,,,,1.208,1.5309,3,46.98,,['4B'],,,31.0,82.0,4B_fresh_breakout,2025-12-31,15.110067735247148,2026-03-26,18.44,22.04
603057.SH,紫燕食品,91,2022-09-30,29.57,False,94,0.5557,2024-08-16,13.137290908513602,True,True,2024-12-27,2025-06-13,25.0,12203502.0,True,2025-06-20,194,1.0893,,1.193,True,True,False,1.0,True,1.0238,1.0936,0,-3.51,1.0,['4A'],186.0,91.0,,,,2025-12-31,20.340261001781773,2026-03-26,24.69,21.38
000949.SZ,新乡化纤,66,,,False,104,0.5622,2024-02-09,,,,,,,,,2025-09-12,110,,,2.096,True,,,,,1.1949,1.4256,1,28.5,,['4B'],,,71.0,66.0,4B_fresh_breakout,2025-12-31,5.49993728575547,2026-03-26,6.64,20.73
601226.SH,华电科工,59,,,False,68,0.4621,2024-07-19,,,,,,,,,2025-07-11,173,,,1.8427,True,,,,,1.0546,1.2612,1,18.08,,['4B'],,,95.0,59.0,4B_fresh_breakout,2025-12-31,7.840262934111569,2026-03-26,9.42,20.15
600893.SH,航发动力,94,2022-01-07,55.64,True,104,0.4647,2024-02-02,29.784466387405683,True,True,2024-02-09,2024-07-12,22.0,56046096.5,True,2024-07-26,523,1.0118,,1.4628,True,True,True,0.0,True,1.0241,1.0785,0,-1.74,1.0,['4A'],29.0,94.0,,,,2025-12-31,40.030034141524176,2026-03-26,48.0,19.91
000636.SZ,风华高科,91,2022-01-07,27.33,True,104,0.6522,2024-02-02,9.506586402015397,True,True,2024-11-08,2025-04-03,22.0,83011014.0,True,2025-07-25,159,1.0022,,0.9867,True,False,False,0.0,True,1.0171,1.1575,1,15.79,2.0,['4A'],213.0,91.0,,,,2025-12-31,16.27997430370813,2026-03-26,19.43,19.35
002183.SZ,怡 亚 通,94,2022-06-02,9.44,True,112,0.7114,2024-08-23,2.7240136967381874,True,True,,,,,False,2024-10-25,432,1.0087,,3.6046,True,True,False,2.0,True,0.9572,1.1085,0,-1.03,5.0,['4A'],37.0,94.0,,,,2025-12-31,4.760018234959479,2026-03-26,5.66,18.91
002053.SZ,云南能投,91,2022-03-18,17.27,True,95,0.5067,2024-02-02,8.518956363329252,True,True,2024-11-08,2025-04-03,22.0,25478860.0,True,2025-04-25,250,1.0296,,1.2699,True,True,False,0.0,True,0.9231,1.0469,2,4.31,7.0,['4A'],151.0,91.0,,,,2025-12-31,11.520192073460054,2026-03-26,13.69,18.83
603165.SH,荣晟环保,92,2022-04-01,15.43,False,93,0.447,2024-02-02,8.532968897899796,True,True,2024-08-02,2024-12-20,21.0,12894216.0,True,2024-12-27,369,1.1099,,4.2588,True,True,True,0.0,True,0.9883,1.1374,0,4.46,2.0,['4A'],100.0,92.0,,,,2025-12-31,12.64990102540615,2026-03-26,15.0,18.58
301349.SZ,信德新材,67,,,False,98,0.7965,2024-08-23,,,,,,,,,2025-07-04,180,,,3.2274,True,,,,,1.0507,1.313,2,21.88,,['4B'],,,70.0,67.0,4B_fresh_breakout,2025-12-31,46.910073286419475,2026-03-26,55.58,18.48
300929.SZ,华骐环保,91,2022-04-08,17.66,False,120,0.6183,2024-08-23,6.740302789618772,True,True,,,,,False,2025-06-06,208,1.0363,,1.0329,True,True,False,0.0,True,0.97,1.1116,0,5.08,0.0,['4A'],176.0,91.0,,,,2025-12-31,10.749944022359982,2026-03-26,12.7,18.14
002631.SZ,德尔未来,74,,,False,166,0.6561,2024-07-26,,,,,,,,,2025-09-19,103,,,2.9432,True,,,,,1.1171,1.2335,3,19.84,,['4B'],,,42.0,74.0,4B_fresh_breakout,2025-12-31,5.9800592696629975,2026-03-26,7.06,18.06
000422.SZ,湖北宜化,95,2022-04-08,24.01,True,92,0.6881,2024-02-02,7.489892763611858,True,True,,,,,False,2024-09-27,460,1.0092,,0.999,True,False,False,4.0,False,0.9903,1.197,0,9.61,3.0,['4A'],14.0,95.0,,,,2025-12-31,14.209991350584655,2026-03-26,16.72,17.66
600716.SH,凤凰股份,91,2022-04-01,5.9,False,121,0.5797,2024-08-23,2.479915184476368,True,True,2025-01-27,2025-06-20,21.0,45592030.0,True,2025-06-27,187,1.0838,,0.9652,True,False,False,1.0,True,0.9833,1.1223,0,3.75,0.0,['4A'],198.0,91.0,,,,2025-12-31,3.869930007664664,2026-03-26,4.53,17.06
300129.SZ,泰胜风能,84,,,True,57,0.4726,2024-07-19,,,,,,,,,2025-09-05,117,,,1.3037,True,,,,,1.2511,1.3544,1,32.24,,['4B'],,,23.0,84.0,4B_fresh_breakout,2025-12-31,10.460076383052108,2026-03-26,12.24,17.02
000703.SZ,恒逸石化,84,,,False,175,0.5366,2024-09-13,,,,,,,,,2025-09-12,110,,,1.5671,True,,,,,1.4717,1.6354,2,62.2,,['4B'],,,22.0,84.0,4B_fresh_breakout,2025-12-31,10.769954807155209,2026-03-26,12.59,16.9
300501.SZ,海顺新材,95,2022-01-14,28.76,True,104,0.6656,2024-02-09,9.61628831003835,True,True,,,,,False,2024-10-25,432,1.0045,,1.559,True,True,False,2.0,True,0.9466,1.1347,0,13.71,3.0,['4A'],17.0,95.0,,,,2025-12-31,15.320077870804385,2026-03-26,17.9,16.84
688231.SH,隆达股份,59,,,False,82,0.7012,2024-09-13,,,,,,,,,2025-07-18,166,,,1.5354,True,,,,,1.1459,1.4876,1,37.64,,['4B'],,,94.0,59.0,4B_fresh_breakout,2025-12-31,25.999744275780646,2026-03-26,29.97,15.27
600851.SH,海欣股份,95,2022-01-14,8.98,False,123,0.5003,2024-06-28,4.486903549998119,True,True,,,,,False,2024-11-08,418,1.003,,1.1736,True,True,False,4.0,False,0.9981,1.1108,0,11.86,6.0,['4A'],19.0,95.0,,,,2025-12-31,6.830035242161532,2026-03-26,7.86,15.08
600078.SH,澄星股份,85,,,True,134,0.709,2025-04-11,,,,,,,,,2025-10-10,82,,,0.8934,True,,,,,1.0616,1.411,8,16.95,,['4B'],,,16.0,85.0,4B_fresh_breakout,2025-12-31,9.589935858409135,2026-03-26,11.02,14.91
300016.SZ,北陆药业,94,2019-03-15,11.47,False,148,0.6426,2024-02-09,4.099432267824309,True,True,,,,,False,2024-10-25,432,1.1375,,3.0915,True,True,False,1.0,True,0.9077,1.1797,0,12.19,4.0,['4A'],38.0,94.0,,,,2025-12-31,7.939990466609997,2026-03-26,9.12,14.86
300048.SZ,合康新能,94,2022-03-04,7.59,True,97,0.4769,2024-02-02,3.969995069132934,True,True,2024-02-02,2024-09-20,33.0,29764829.0,True,2024-10-04,453,1.0051,,1.5828,True,True,False,1.0,True,0.9548,1.1228,0,11.21,1.0,['4A'],32.0,94.0,,,,2025-12-31,5.949943860499995,2026-03-26,6.83,14.79
603309.SH,维力医疗,94,2022-11-04,21.26,True,95,0.5626,2024-09-20,9.298212535567327,True,True,2024-09-20,2025-04-03,29.0,17435052.0,True,2025-06-13,201,1.0038,,1.3318,True,True,False,0.0,True,0.9775,1.1275,0,8.81,0.0,['4A'],65.0,94.0,,,,2025-12-31,13.398548631563893,2026-03-26,15.3,14.19
002831.SZ,裕同科技,91,2022-11-04,31.05,False,95,0.3716,2024-09-20,19.510938829740986,True,True,,,,,False,2024-11-01,425,1.0049,,1.9163,True,True,False,0.0,True,1.0351,1.1785,1,15.58,1.0,['4A'],127.0,91.0,,,,2025-12-31,28.509973794316345,2026-03-26,32.33,13.4
300234.SZ,开尔新材,94,2022-01-07,8.2,True,105,0.595,2024-02-09,3.3210126708157666,True,True,,,,,False,2024-11-08,418,1.0256,,2.6937,True,True,False,2.0,True,1.0131,1.1506,0,7.01,0.0,['4A'],42.0,94.0,,,,2025-12-31,5.5000299174764695,2026-03-26,6.22,13.09
000507.SZ,珠海港,91,2019-04-04,7.68,False,172,0.4399,2024-08-23,4.301832655044795,True,True,2025-01-24,2025-06-06,20.0,73251824.0,True,2025-06-13,201,1.0847,,1.5455,True,True,True,3.0,False,0.9606,1.0192,0,-6.42,0.0,['4A'],179.0,91.0,,,,2025-12-31,5.209988124096897,2026-03-26,5.89,13.05
002077.SZ,大港股份,91,2022-12-16,22.6,True,88,0.5265,2024-09-13,10.700226364863813,True,True,2024-12-27,2025-08-22,35.0,80366103.0,True,2025-08-29,124,1.1093,,3.4173,True,True,True,2.0,True,0.9136,1.0247,1,-6.77,2.0,['4A'],217.0,91.0,,,,2025-12-31,14.87023255741486,2026-03-26,16.76,12.71
300970.SZ,华绿生物,67,,,False,134,0.6131,2024-09-13,,,,,,,,,2025-07-25,159,,,0.5949,True,,,,,1.2571,1.4433,0,32.75,,['4B'],,,67.0,67.0,4B_fresh_breakout,2025-12-31,20.509909245260847,2026-03-26,23.08,12.53
002925.SZ,盈趣科技,94,2022-01-07,31.38,False,132,0.6576,2024-08-23,10.743485881430816,True,True,,,,,False,2024-12-20,376,1.0006,,3.2693,True,True,False,1.0,True,0.9118,1.0983,1,7.85,4.0,['4A'],48.0,94.0,,,,2025-12-31,16.939806202614935,2026-03-26,19.06,12.52
300664.SZ,鹏鹞环保,91,2019-08-16,8.57,False,155,0.5405,2024-09-06,3.9378588220406914,True,True,2024-12-27,2025-05-23,22.0,47296748.0,True,2025-05-30,215,1.0425,,1.4392,True,True,False,0.0,True,0.9686,1.0649,0,3.0,0.0,['4A'],171.0,91.0,,,,2025-12-31,5.360132155799861,2026-03-26,6.02,12.31
603565.SH,中谷物流,91,2022-02-11,11.42,False,100,0.4981,2024-02-02,5.732168853964083,True,True,2024-03-22,2024-09-06,25.0,40619739.0,True,2024-12-06,390,1.0374,,1.445,True,True,True,0.0,True,0.9422,1.1927,0,20.41,1.0,['4A'],139.0,91.0,,,,2025-12-31,10.039956772335993,2026-03-26,11.26,12.15
300187.SZ,永清环保,91,2022-03-11,8.09,False,119,0.5251,2024-07-19,3.842329762952766,True,True,2024-11-22,2025-04-03,20.0,29183271.0,True,2025-07-04,180,1.0037,,1.1178,True,True,False,0.0,True,0.9521,0.979,0,-4.4,0.0,['4A'],204.0,91.0,,,,2025-12-31,4.869988317415916,2026-03-26,5.45,11.91
300160.SZ,秀强股份,94,2022-07-29,9.17,True,104,0.5471,2024-08-23,4.153318277207741,True,True,2024-11-15,2025-04-03,21.0,55902992.0,True,2025-06-27,187,1.001,,0.7707,True,False,False,0.0,True,0.9335,1.0098,0,-0.91,1.0,['4A'],73.0,94.0,,,,2025-12-31,5.439958010738383,2026-03-26,6.07,11.58
300285.SZ,国瓷材料,62,,,True,134,0.6536,2024-09-13,,,,,,,,,2025-08-22,131,,,2.4265,True,,,,,1.1563,1.3853,1,33.56,,['4B'],,,77.0,62.0,4B_fresh_breakout,2025-12-31,27.40996640234455,2026-03-26,30.51,11.31
601952.SH,苏垦农发,90,2022-05-20,15.22,True,86,0.4574,2024-02-02,8.257852244947012,True,True,2025-01-17,2025-06-20,23.0,37236420.0,True,2025-07-11,173,1.0015,,0.5988,True,False,False,1.0,True,0.9743,0.9585,0,-7.57,0.0,['4A'],229.0,90.0,,,,2025-12-31,9.119723161227098,2026-03-26,10.11,10.86
600798.SH,宁波海运,97,2022-03-04,5.98,False,128,0.5771,2024-09-13,2.528775892450929,True,True,,,,,False,2025-04-11,264,1.0284,,3.9939,True,True,False,2.0,True,0.9097,1.0434,0,3.99,9.0,['4A'],12.0,97.0,,,,2025-12-31,3.519995402980461,2026-03-26,3.89,10.51
300214.SZ,日科化学,94,2019-10-18,9.49,False,147,0.5416,2024-09-13,4.349995424417729,True,True,,,,,False,2024-12-06,390,1.019,,1.7584,True,True,False,3.0,False,0.8938,1.0773,0,7.75,4.0,['4A'],46.0,94.0,,,,2025-12-31,6.6801299597458845,2026-03-26,7.35,10.03
601200.SH,上海环境,91,2019-06-21,11.22,False,133,0.3995,2024-02-02,6.737672749082407,True,True,2024-02-02,2024-07-05,22.0,22540681.0,True,2024-09-27,460,1.0418,,2.1933,True,True,True,0.0,True,0.9843,1.0374,0,2.27,0.0,['4A'],119.0,91.0,,,,2025-12-31,8.049957262628219,2026-03-26,8.84,9.81
601880.SH,辽港股份,91,2019-04-04,2.39,False,175,0.5002,2024-09-13,1.1945403453878027,True,True,,,,,False,2024-11-01,425,1.06,,2.965,True,True,False,0.0,True,0.9474,1.079,0,2.59,0.0,['4A'],128.0,91.0,,,,2025-12-31,1.6001531559994833,2026-03-26,1.75,9.36
603162.SH,海通发展,72,,,False,74,0.4299,2024-09-13,,,,,,,,,2025-10-17,75,,,3.2956,True,,,,,1.1252,1.2544,5,7.31,,['4B'],,,50.0,72.0,4B_fresh_breakout,2025-12-31,12.040160419115653,2026-03-26,13.16,9.3
002224.SZ,三 力 士,91,2019-05-17,7.26,False,166,0.5099,2024-08-23,3.557822303442117,True,True,2025-01-10,2025-05-23,20.0,43675096.0,True,2025-05-30,215,1.0486,,6.7672,True,True,True,2.0,True,0.9759,0.9714,0,-8.16,0.0,['4A'],168.0,91.0,,,,2025-12-31,4.390019176606625,2026-03-26,4.78,8.88
301035.SZ,润丰股份,91,2022-09-09,105.31,False,98,0.6548,2024-08-23,36.349287207528384,True,True,,,,,False,2025-06-27,187,1.0049,,1.1108,True,True,False,0.0,True,0.9139,1.1757,0,16.47,0.0,['4A'],195.0,91.0,,,,2025-12-31,68.00968024181473,2026-03-26,74.03,8.85
002142.SZ,宁波银行,94,2022-02-11,38.12,True,131,0.5371,2024-09-13,17.646460309399025,True,True,2024-09-13,2025-06-20,41.0,137275252.0,True,2025-06-27,187,1.1631,,1.4651,True,True,True,0.0,True,1.0133,1.1918,0,5.42,0.0,['4A'],70.0,94.0,,,,2025-12-31,28.09000243713733,2026-03-26,30.42,8.29
601002.SH,晋亿实业,94,2019-04-04,8.03,False,167,0.6548,2024-07-19,2.77218519975805,True,True,,,,,False,2024-11-01,425,1.0233,,4.6032,True,True,False,3.0,False,0.9801,1.1955,0,21.19,4.0,['4A'],40.0,94.0,,,,2025-12-31,5.140358074345128,2026-03-26,5.53,7.58
300878.SZ,维康药业,67,,,False,42,0.5762,2024-09-20,,,,,,,,,2025-07-18,166,,,2.6339,True,,,,,1.0654,1.3292,2,17.13,,['4B'],,,68.0,67.0,4B_fresh_breakout,2025-12-31,25.510211039028132,2026-03-26,27.41,7.45
002286.SZ,保龄宝,100,2022-01-07,13.63,True,105,0.624,2024-02-09,5.124866094910405,True,True,,,,,False,2024-12-06,390,1.0077,,2.4267,True,True,False,2.0,True,0.9108,1.1231,1,14.7,10.0,['4A'],1.0,100.0,,,,2025-12-31,8.939990366468102,2026-03-26,9.58,7.16
003031.SZ,中瓷电子,85,,,True,62,0.6419,2024-09-13,,,,,,,,,2025-08-15,138,,,1.495,True,,,,,1.2112,1.4043,4,29.83,,['4B'],,,18.0,85.0,4B_fresh_breakout,2025-12-31,73.15997107836814,2026-03-26,78.4,7.16
001338.SZ,永顺泰,91,2022-12-02,25.31,False,90,0.6613,2024-09-13,8.572989622859716,True,True,2025-01-03,2025-05-30,22.0,45627804.5,True,2025-06-06,208,1.0046,,3.8022,True,True,True,2.0,True,1.0199,1.0904,0,-2.84,0.0,['4A'],173.0,91.0,,,,2025-12-31,12.109841345286283,2026-03-26,12.97,7.1
601228.SH,广州港,91,2019-04-04,4.95,False,144,0.4108,2024-02-02,2.9164723677148707,True,True,2024-04-26,2024-09-20,22.0,90087403.0,True,2024-09-27,460,1.0445,,1.4852,True,True,True,0.0,True,0.9654,1.0072,0,-1.84,0.0,['4A'],120.0,91.0,,,,2025-12-31,3.24001994107308,2026-03-26,3.46,6.79
000965.SZ,天保基建,95,2022-04-08,9.42,True,93,0.7551,2024-02-09,2.307232447223247,True,True,2024-11-15,2025-04-03,21.0,113212272.0,True,2025-04-18,257,1.1755,,3.1834,True,True,True,3.0,False,0.9179,1.1464,1,-4.14,7.0,['4A'],24.0,95.0,,,,2025-12-31,3.919900109296242,2026-03-26,4.18,6.64
603936.SH,博敏电子,59,,,False,73,0.6349,2024-02-02,,,,,,,,,2025-07-04,180,,,5.0206,True,,,,,1.07,1.3906,1,26.87,,['4B'],,,98.0,59.0,4B_fresh_breakout,2025-12-31,12.700233302370505,2026-03-26,13.49,6.22
600874.SH,创业环保,91,2019-03-22,9.89,False,177,0.527,2024-09-13,4.677637872633442,True,True,2024-11-08,2025-04-03,22.0,48547792.0,True,2025-04-25,250,1.0149,,0.8849,True,False,False,0.0,True,0.9781,1.0602,0,6.42,0.0,['4A'],154.0,91.0,,,,2025-12-31,5.940229974217994,2026-03-26,6.29,5.89
002009.SZ,天奇股份,85,,,True,76,0.607,2024-02-02,,,,,,,,,2025-08-29,124,,,1.2624,True,,,,,1.3025,1.5866,4,30.75,,['4B'],,,17.0,85.0,4B_fresh_breakout,2025-12-31,22.61990900788209,2026-03-26,23.95,5.88
002386.SZ,天原股份,94,2022-08-12,9.59,True,106,0.6205,2024-09-20,3.639871592948537,True,True,,,,,False,2025-07-04,180,1.0066,,1.4714,True,True,False,1.0,True,0.9925,1.1526,0,9.48,0.0,['4A'],74.0,94.0,,,,2025-12-31,5.430099135142254,2026-03-26,5.74,5.71
300057.SZ,万顺新材,91,2022-07-29,14.09,True,99,0.733,2024-07-19,3.7620606679355797,True,True,2025-01-17,2025-06-20,23.0,85965548.0,True,2025-07-04,180,1.0072,,3.6892,True,True,True,2.0,True,0.9414,1.0708,0,0.0,1.0,['4A'],203.0,91.0,,,,2025-12-31,5.690050486785997,2026-03-26,5.99,5.27
002237.SZ,恒邦股份,92,2019-07-05,18.86,False,131,0.54,2024-02-02,8.675216610937804,True,True,2024-10-11,2025-04-03,26.0,74450541.5,True,2025-04-25,250,1.009,,2.519,True,True,True,0.0,True,0.9919,1.1796,0,21.52,2.0,['4A'],105.0,92.0,,,,2025-12-31,13.419942825474637,2026-03-26,14.11,5.14
600448.SH,华纺股份,92,2019-04-19,6.52,False,116,0.7132,2024-07-19,1.8701630751085494,True,True,,,,,False,2024-12-06,390,1.0031,,1.7683,True,True,False,0.0,True,0.9216,1.0798,0,-0.94,6.0,['4A'],97.0,92.0,,,,2025-12-31,3.150037340114327,2026-03-26,3.31,5.08
300661.SZ,圣邦股份,97,2022-02-25,134.74,True,107,0.6502,2024-04-12,47.12788161337099,True,True,2024-04-26,2024-09-20,22.0,13566962.5,True,2024-12-06,390,1.0051,,1.3932,True,True,True,4.0,False,0.9397,1.043,0,-5.24,4.0,['4A'],10.0,97.0,,,,2025-12-31,68.63999136125182,2026-03-26,72.11,5.06
600585.SH,海螺水泥,90,2020-01-03,44.91,True,137,0.5762,2024-09-20,19.03509509809918,True,True,2024-09-20,2025-04-03,29.0,82899187.0,True,2025-04-11,264,1.0643,,2.3353,True,True,True,0.0,True,0.9445,0.967,0,-10.79,2.0,['4A'],223.0,90.0,,,,2025-12-31,21.860074213443827,2026-03-26,22.93,4.89
000739.SZ,普洛药业,94,2022-03-25,32.36,True,94,0.6678,2024-02-02,10.750905953176177,True,True,2024-05-03,2024-09-20,21.0,34110703.0,True,2025-02-28,306,1.0053,,1.6536,True,True,True,0.0,True,1.0169,1.113,0,0.74,0.0,['4A'],51.0,94.0,,,,2025-12-31,16.26996792627616,2026-03-26,17.06,4.86
000782.SZ,恒申新材,92,2022-07-22,6.24,False,107,0.3558,2024-09-06,4.0200190590178835,True,True,,,,,False,2024-11-08,418,1.1085,,4.3557,True,True,False,1.0,True,0.8837,1.009,0,-8.15,2.0,['4A'],87.0,92.0,,,,2025-12-31,4.959989002929744,2026-03-26,5.2,4.84
002019.SZ,亿帆医药,91,2022-01-14,20.73,False,103,0.5252,2024-02-02,9.842934397431229,True,True,2024-03-29,2024-08-16,21.0,39667125.0,True,2025-05-30,215,1.0476,,1.651,True,True,True,0.0,True,0.8912,0.9545,0,-9.26,0.0,['4A'],167.0,91.0,,,,2025-12-31,11.960024068804689,2026-03-26,12.52,4.68
601311.SH,骆驼股份,94,2022-02-18,13.53,True,99,0.5379,2024-02-02,6.2527900766136,True,True,2024-02-02,2024-07-05,22.0,47146202.5,True,2024-10-04,453,1.0456,,0.9217,True,False,False,0.0,True,0.9121,1.1188,0,8.28,1.0,['4A'],34.0,94.0,,,,2025-12-31,9.170027030633443,2026-03-26,9.59,4.58
002132.SZ,恒星科技,94,2022-07-01,7.56,True,103,0.7347,2024-07-19,2.005905144217489,True,True,,,,,False,2025-03-28,278,1.1204,,2.4145,True,True,False,0.0,True,0.9403,1.1894,0,2.84,4.0,['4A'],54.0,94.0,,,,2025-12-31,3.5500436630410195,2026-03-26,3.71,4.51
603183.SH,建研院,91,2022-05-13,5.79,False,88,0.4937,2024-02-09,2.9316572723192205,True,True,,,,,False,2024-12-06,390,1.0337,,1.4808,True,True,False,2.0,True,0.9581,1.073,0,-1.56,1.0,['4A'],138.0,91.0,,,,2025-12-31,4.309930040235607,2026-03-26,4.5,4.41
301190.SZ,善水科技,92,2022-01-07,33.14,False,135,0.6263,2024-09-13,12.38451409125494,True,True,,,,,False,2025-03-07,299,1.0749,,3.7158,True,True,False,1.0,True,0.8523,1.1243,0,15.91,3.0,['4A'],101.0,92.0,,,,2025-12-31,21.209836632817243,2026-03-26,22.12,4.29
000088.SZ,盐 田 港,91,2019-04-19,6.42,False,171,0.3649,2024-09-13,4.077442892906528,True,True,2024-11-01,2025-03-14,20.0,45307055.5,True,2025-03-21,285,1.0018,,2.3871,True,True,True,0.0,True,1.0005,0.9929,0,-2.28,1.0,['4A'],144.0,91.0,,,,2025-12-31,4.450013129075626,2026-03-26,4.64,4.27
300487.SZ,蓝晓科技,62,,,True,75,0.407,2024-08-23,,,,,,,,,2025-07-11,173,,,0.8782,True,,,,,1.0926,1.2613,1,21.55,,['4B'],,,83.0,62.0,4B_fresh_breakout,2025-12-31,61.749971430189035,2026-03-26,64.28,4.1
300837.SZ,浙矿股份,67,,,False,131,0.6844,2024-09-20,,,,,,,,,2025-08-22,131,,,1.183,True,,,,,1.2533,1.4439,0,33.15,,['4B'],,,63.0,67.0,4B_fresh_breakout,2025-12-31,34.01960002489448,2026-03-26,35.33,3.85
300923.SZ,研奥股份,94,2022-01-14,31.3,False,104,0.597,2024-02-09,12.61417398228633,True,True,,,,,False,2024-07-26,523,1.2623,,4.8521,True,True,False,4.0,False,0.9822,1.1857,0,-1.51,5.0,['4A'],28.0,94.0,,,,2025-12-31,25.530047415436297,2026-03-26,26.51,3.84
300138.SZ,晨光生物,94,2023-02-03,18.1697,True,83,0.6138,2024-09-20,7.017239920327414,True,True,,,,,False,2025-06-20,194,1.0466,,1.4352,True,True,False,1.0,True,0.9429,1.1435,0,1.31,0.0,['4A'],67.0,94.0,,,,2025-12-31,12.40994493416641,2026-03-26,12.88,3.79
000420.SZ,吉林化纤,67,,,True,61,0.5689,2024-02-02,,,,,,,,,2025-11-07,54,,,0.9417,True,,,,,1.0824,1.2672,1,6.84,,['4B'],,,61.0,67.0,4B_fresh_breakout,2025-12-31,4.529968785799445,2026-03-26,4.7,3.75
300388.SZ,节能国祯,92,2019-04-19,10.1,False,143,0.4879,2024-02-09,5.172528346373065,True,True,2024-02-09,2024-07-05,21.0,22533680.0,True,2024-10-04,453,1.1116,,1.5482,True,True,False,1.0,True,0.9055,1.1654,1,17.03,2.0,['4A'],79.0,92.0,,,,2025-12-31,7.981509259992885,2026-03-26,8.27,3.61
002705.SZ,新宝股份,94,2022-01-07,26.97,True,104,0.5908,2024-02-02,11.03515987292249,True,True,2024-03-15,2024-09-20,28.0,25773881.0,True,2025-02-28,306,1.0127,,1.1091,True,True,True,0.0,True,0.9341,0.9842,0,-6.07,1.0,['4A'],52.0,94.0,,,,2025-12-31,14.25996551415572,2026-03-26,14.77,3.58
300223.SZ,北京君正,92,,,True,74,0.6109,2024-09-20,,,,,,,,,2025-09-05,117,,,2.4408,True,,,,,1.2143,1.5457,2,43.49,,['4B'],,,10.0,92.0,4B_fresh_breakout,2025-12-31,106.04014257963449,2026-03-26,109.76,3.51
300238.SZ,冠昊生物,89,2019-05-24,29.49,False,161,0.7138,2024-07-26,8.440051511071404,True,True,,,,,False,2024-10-04,453,1.077,,0.6631,True,False,False,4.0,False,0.9012,1.0691,0,6.78,2.0,['4A'],248.0,89.0,,,,2025-12-31,13.84991292695738,2026-03-26,14.31,3.32
603176.SH,汇通集团,90,2022-02-11,14.54,False,123,0.7671,2024-07-19,3.385942817795988,True,True,,,,,False,2025-07-11,173,1.0654,,1.3623,True,True,False,1.0,True,0.8714,1.0183,0,-5.92,8.0,['4A'],230.0,90.0,,,,2025-12-31,5.259583173209121,2026-03-26,5.43,3.24
603638.SH,艾迪精密,94,2022-01-07,31.94,True,104,0.5822,2024-02-02,13.343714570226224,True,True,2024-02-02,2024-08-23,29.0,10074274.0,True,2024-10-04,453,1.0385,,0.9343,True,False,False,0.0,True,1.0103,1.1216,0,11.68,1.0,['4A'],35.0,94.0,,,,2025-12-31,18.929958173710848,2026-03-26,19.53,3.17
